model,group,subset,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_f1_selected_gain,hp_threshold,hp_precision,hp_recall,hp_selected_gain,hp_selected_rate
hierarchical_conservative,overall,all,0.0275,0.48100860119721617,0.33966585386554204,0.8238182635285688,0.001449412882935222,0.17,0.5625,2.3570303931212427e-06,0.033560048788785934,1.1009326826454201e-06
hierarchical_conservative,overall,affected,0.03,0.4938337275037953,0.35097336290143816,0.8328287299338999,0.001035194196193392,0.17,0.5625,6.639518413597734e-06,0.033560048788785934,3.4474392636614476e-06
hierarchical_conservative,overall,unaffected,0.0275,0.4739288595397848,0.33624374811705643,0.8025619974306127,0.0017286587407390878,0.155,0.4,2.436207896237033e-06,0.006745304663976034,1.5163759504391728e-06
hierarchical_conservative,severity_low,all,0.0275,0.4781531341755086,0.33931446160186485,0.8092960954161291,0.001361759473754239,0.145,0.4,6.362830538076055e-05,0.026582286738116166,3.938338119093172e-05
hierarchical_conservative,severity_low,affected,0.03,0.4923529684386152,0.3507501955192558,0.8256993932681425,0.0006980590835065774,0.1625,0.5,4.857741053255415e-06,0.0061553120613098145,2.729753080185132e-06
hierarchical_conservative,severity_low,unaffected,0.0275,0.4739160817913894,0.3374467939345536,0.7957182150160057,0.0015693601285700369,0.145,0.44047619047619047,5.2431176994900005e-05,0.06578138160208861,2.848337232277493e-05
hierarchical_conservative,severity_mid,all,0.0275,0.4798200609463847,0.3385529149233089,0.8233968480221499,0.0013706292382989127,0.16,0.5555555555555556,1.5196113442026067e-05,0.00981676909658644,7.150778332426575e-06
hierarchical_conservative,severity_mid,affected,0.03,0.4932679216757109,0.35016957010601324,0.8341449734115407,0.0009331990615000663,0.16,0.5555555555555556,4.3480718475392086e-05,0.00981676909658644,2.2642947759574666e-05
hierarchical_conservative,severity_mid,unaffected,0.0275,0.4725852903797731,0.3349904742854494,0.8020012801465161,0.0016347428448935815,0.155,0.6666666666666666,4.672067576785431e-06,0.1585488865772883,1.7418982859140233e-06
hierarchical_conservative,severity_high,all,0.0275,0.4835977523998935,0.3407792217150042,0.832488838205211,0.00156335085197519,0.1525,0.5212355212355212,8.486861709417399e-05,0.021741280382549442,4.4524982899140255e-05
hierarchical_conservative,severity_high,affected,0.03,0.4946517454111292,0.35157773146478755,0.8340788384329748,0.0012033482403435393,0.1525,0.532,0.00019284054117145555,0.023606768175959587,0.00010782554689117383
hierarchical_conservative,severity_high,unaffected,0.0275,0.4752122700747308,0.3365056486800498,0.8084550030244005,0.0019400454988445079,0.0825,0.38319131912822574,0.11534675168284304,0.004249817725460495,0.07752603405157617
hierarchical_conservative,recovery_short_lt30,all,0.0275,0.476302374741249,0.3370965218265967,0.8113564664055366,0.001270536778149012,0.1625,0.6153846153846154,5.97779547869439e-06,0.03283826204446646,2.4247583495154865e-06
