model,group,subset,threshold,selected_rate,precision,recall,fpr,f1,selected_final_gain_mean,selected_final_better_rate,selected_count
focused_impact_veto,overall,all,0.0,1.0,0.2627351076147936,1.0,1.0,0.4161365373155409,0.0008676174183434349,0.5198232562671281,14533132.0
focused_impact_veto,overall,all,0.0025,0.9890217745218305,0.2655081711005411,0.9994605019322411,0.9853017816158035,0.41955968651625436,0.0008772542198522503,0.5200816998738798,14373584.0
focused_impact_veto,overall,all,0.005,0.9691220722415512,0.2703850840707993,0.9973396983629639,0.959066309228534,0.42543268369545384,0.0008952185372270087,0.5203980239384356,14084379.0
focused_impact_veto,overall,all,0.0075,0.9461202168947478,0.2758820487720444,0.9934629071508112,0.9292489580735672,0.4318425514276897,0.0009165751066341927,0.5205400837376337,13750090.0
focused_impact_veto,overall,all,0.01,0.9202790561594019,0.28181461533958146,0.9871086151032222,0.8964633671956314,0.43845305687504393,0.000944870710230848,0.5207166423779754,13374537.0
focused_impact_veto,overall,all,0.0125,0.8915925349057587,0.2881854493166653,0.9779583612248597,0.8608148118559357,0.44518382097849807,0.0009765952150458798,0.5208773485772709,12957632.0
focused_impact_veto,overall,all,0.015,0.8599782896074982,0.2948507374434898,0.9650984033999902,0.8225172024256615,0.45170073413839773,0.001022649597015811,0.521055789091818,12498178.0
focused_impact_veto,overall,all,0.0175,0.8259116479503523,0.30155294268980726,0.9479360794308767,0.7824264603769302,0.4575517018133676,0.0010799619207305315,0.5211726020723176,12003083.0
focused_impact_veto,overall,all,0.02,0.7900697523424407,0.30821024703654043,0.926817872785308,0.7413375632584859,0.4625882778608249,0.0011288009134831625,0.5212695524581203,11482188.0
focused_impact_veto,overall,all,0.0225,0.7525205165686241,0.31488787982970756,0.9018954190852417,0.6992885893562978,0.46679788684990503,0.0011819693981852748,0.521393172208974,10936480.0
focused_impact_veto,overall,all,0.025,0.7139770697740858,0.3214621402976758,0.8735665326825834,0.6571050348453649,0.46997795724555247,0.0012415001318657134,0.521632084891729,10376323.0
focused_impact_veto,overall,all,0.0275,0.6743586310232371,0.3278557116682208,0.8415028006758916,0.6147943660562692,0.47186811687604585,0.0013072826381615309,0.5219258769641641,9800543.0
focused_impact_veto,overall,all,0.03,0.6341915837549676,0.33402768208888345,0.8062780290197582,0.5728660667221166,0.4723631189934542,0.0013837901810643029,0.5221942780512521,9216790.0
focused_impact_veto,overall,all,0.0325,0.5935145294214627,0.33983693935222087,0.7676863703931841,0.5314458511840854,0.4711199921504271,0.0014635799759227528,0.5223764075067024,8625625.0
focused_impact_veto,overall,all,0.035,0.5526854087611672,0.34541243113697906,0.7266041163178786,0.49070693831168344,0.46823548551999084,0.0015527785658995604,0.5226987456814716,8032250.0
focused_impact_veto,overall,all,0.0375,0.5119604638559672,0.3507640527934763,0.6834919352895638,0.45083271984983714,0.46360747056090496,0.0016487453969052936,0.523136223119517,7440389.0
focused_impact_veto,overall,all,0.04,0.4718086920286694,0.35571540201065854,0.6387788068397879,0.4123064540454819,0.4569628622243172,0.0017339998381905438,0.5233211771339001,6856858.0
focused_impact_veto,overall,all,0.0425,0.432791362522545,0.36039030724914917,0.5936542456402795,0.37546552571180264,0.44850575444951607,0.0018231174007636158,0.5235762138594241,6289814.0
focused_impact_veto,overall,all,0.045,0.395000609641473,0.3646626587204534,0.5482402934869489,0.340391411181278,0.4379934637240871,0.0019029888873013986,0.5237574635107575,5740596.0
focused_impact_veto,overall,all,0.0475,0.3589079766150889,0.3686336249776412,0.5035701153687809,0.3073555115705725,0.42566402429109734,0.0019808658062263956,0.5239233390279285,5216057.0
focused_impact_veto,overall,all,0.05,0.3247759670799109,0.3721191810529295,0.4599894090767669,0.2765906830647196,0.41141477020922945,0.0020585720353026647,0.5240270575583282,4720012.0
focused_impact_veto,overall,all,0.0525,0.2925343965774205,0.3752280697297693,0.41778625610339926,0.2478990679032901,0.3953651916000449,0.0021310203089439568,0.5242328424644727,4251441.0
focused_impact_veto,overall,all,0.055,0.2623771668763485,0.37793490022191556,0.37742001548307075,0.2213799682830277,0.3776772823679038,0.002208375002344918,0.5242845701284131,3813162.0
focused_impact_veto,overall,all,0.0575,0.23441079321374086,0.3802437122125867,0.33925131286592897,0.1970493434855519,0.35857976519867507,0.0022689821849169282,0.5241829171318009,3406723.0
focused_impact_veto,overall,all,0.06,0.20859151351546246,0.3823079622944244,0.3035231842747313,0.17476122674797998,0.338390376901574,0.002342659723187889,0.5242359527730276,3031488.0
focused_impact_veto,overall,all,0.0625,0.18467726020791664,0.38412162124399996,0.27000018856243146,0.15427118907287588,0.31710580082164735,0.0024165252714566615,0.5242872509397568,2683939.0
focused_impact_veto,overall,all,0.065,0.1626207619940423,0.3857346378442144,0.23875172717949364,0.1354903811263109,0.29494578641365976,0.002518192668283874,0.5243703004456736,2363389.0
focused_impact_veto,overall,all,0.0675,0.14228756746997137,0.3870990829272822,0.20963847344045775,0.11828608888218578,0.2719817445680168,0.002615800188954503,0.5246072797120148,2067884.0
focused_impact_veto,overall,all,0.07,0.12376423746787685,0.3881475435902511,0.18284113300879642,0.10271132328763441,0.24858404221720812,0.0027006191942839587,0.5247025321874572,1798682.0
focused_impact_veto,overall,all,0.0725,0.10691852244925595,0.3889749469225368,0.15829109011084327,0.08861115798307533,0.22501403049946717,0.0028339189771087476,0.5249633010932123,1553861.0
focused_impact_veto,overall,all,0.075,0.09171691277558065,0.3895151597903572,0.13597394067197366,0.07594527478336442,0.20157948540348472,0.0030025695547244817,0.5255909144788864,1332934.0
focused_impact_veto,overall,all,0.0775,0.07801098895957183,0.3900783598413751,0.11582159270305294,0.06453662832457036,0.17861040187330324,0.003196987285836921,0.5263392794140476,1133744.0
focused_impact_veto,overall,all,0.08,0.06574831908221848,0.3904789912184769,0.09771567089989325,0.05435628657568694,0.15631435392456428,0.0034056575061071365,0.5271844182646471,955529.0
focused_impact_veto,overall,all,0.0825,0.05486525547280517,0.39023582705013016,0.08149039745817842,0.045376997430089015,0.13482596894791027,0.003600010529707816,0.5274303831123552,797364.0
focused_impact_veto,overall,all,0.085,0.04532698113524325,0.3898728335633168,0.06726074308263959,0.03751056485777387,0.11472855127206029,0.003875060053783802,0.5281984021082577,658743.0
focused_impact_veto,overall,all,0.08750000000000001,0.037036201143703915,0.3888048720673588,0.05480750394671645,0.030703137949417102,0.09607227260791404,0.004042955559634766,0.5282581393102116,538252.0
focused_impact_veto,overall,all,0.09,0.029799151346041584,0.38802516885066096,0.044009423931296233,0.024735113256768602,0.07905276307621961,0.004240140237022972,0.5284881371586908,433075.0
focused_impact_veto,overall,all,0.0925,0.02358968459104342,0.386781280627246,0.034727176350918876,0.01962067680793462,0.06373215777387078,0.004405946976269488,0.5284658374947496,342832.0
focused_impact_veto,overall,all,0.095,0.01830224895776079,0.38495952840155045,0.026816458567072182,0.015268086065885887,0.05014013235388813,0.004499864468559344,0.5278413768990446,265989.0
